person_id,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
149,Michael,Adams,MichaelAdams,AdamsMichael,MAdams,michaeladams,19630119000000,BostonCollege,USA,BostonCollegeUSA,510,165.0,11.0,23,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,michaeladams,1985.0,1995.0,N,Y,Y,1985,3,66,N
203500,Steven,Adams,StevenAdams,AdamsSteven,SAdams,stevenadams,19930720000000,Pittsburgh,NewZealand,PittsburghNewZealand,611,265.0,10.0,4,Center,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,stevenadams,2013.0,2023.0,N,Y,Y,2013,1,12,N
912,Rafael,Addison,RafaelAddison,AddisonRafael,RAddison,rafaeladdison,19640722000000,Syracuse,USA,SyracuseUSA,68,241.0,6.0,7,Forward,Inactive,N,1610612751,Nets,NJN,nets,NewJersey,rafaeladdison,1986.0,1996.0,N,Y,Y,1986,2,39,N
1628389,Bam,Adebayo,BamAdebayo,AdebayoBam,BAdebayo,bamadebayo,19970718000000,Kentucky,USA,KentuckyUSA,69,255.0,6.0,13,CenterForward,Active,N,1610612748,Heat,MIA,heat,Miami,bamadebayo,2017.0,2023.0,N,Y,Y,2017,1,14,N
76015,Rick,Adelman,RickAdelman,AdelmanRick,RAdelman,rickadelman,19460616000000,LoyolaMarymount,USA,LoyolaMarymountUSA,62,175.0,7.0,5,Guard,Inactive,N,1610612757,TrailBlazers,POR,blazers,Portland,HISTADDrickadelman,1968.0,1974.0,N,Y,Y,1968,7,79,N
201167,Arron,Afflalo,ArronAfflalo,AfflaloArron,AAfflalo,arronafflalo,19851015000000,UCLA,USA,UCLAUSA,65,210.0,12.0,4,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,arronafflalo,2007.0,2017.0,N,Y,Y,2007,1,27,N
1630534,Ochai,Agbaji,OchaiAgbaji,AgbajiOchai,OAgbaji,ochaiagbaji,20000420000000,Kansas,USA,KansasUSA,65,215.0,1.0,30,Guard,Active,N,1610612762,Jazz,UTA,jazz,Utah,ochaiagbaji,2022.0,2023.0,Y,Y,Y,2022,1,14,N
76016,Mark,Aguirre,MarkAguirre,AguirreMark,MAguirre,markaguirre,19591210000000,DePaul,USA,DePaulUSA,66,232.0,13.0,7,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADDmarkaguirre,1981.0,1993.0,N,Y,Y,1981,1,1,N
201336,Blake,Ahearn,BlakeAhearn,AhearnBlake,BAhearn,blakeahearn,19840527000000,MissouriState,USA,MissouriStateUSA,62,190.0,4.0,2,Guard,Inactive,N,1610612748,Heat,MIA,heat,Miami,blakeahearn,2007.0,2011.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
201582,Alexis,Ajinca,AlexisAjinca,AjincaAlexis,AAjinca,alexisajinca,19880506000000,HyeresToulon,France,HyeresToulonFrance,72,248.0,8.0,42,Center,Inactive,N,1610612740,Pelicans,NOP,pelicans,NewOrleans,alexisajinca,2008.0,2017.0,Y,Y,Y,2008,1,20,N
76018,Henry,Akin,HenryAkin,AkinHenry,HAkin,henryakin,19440731000000,MoreheadState,USA,MoreheadStateUSA,610,225.0,2.0,10,Center,Inactive,N,1610612752,Knicks,NYK,knicks,NewYork,HISTADDhenryakin,1966.0,1967.0,N,Y,Y,1966,2,11,N
203006,Josh,Akognon,JoshAkognon,AkognonJosh,JAkognon,joshakognon,19860210000000,CaliforniaStateFullerton,USA,CaliforniaStateFullertonUSA,511,185.0,2.0,10,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,joshakognon,2012.0,2012.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
202374,Solomon,Alabi,SolomonAlabi,AlabiSolomon,SAlabi,solomonalabi,19880321000000,FloridaState,Nigeria,FloridaStateNigeria,71,252.0,3.0,50,Center,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,solomonalabi,2010.0,2011.0,Y,Y,Y,2010,2,50,N
76019,Mark,Alarie,MarkAlarie,AlarieMark,MAlarie,markalarie,19631211000000,Duke,USA,DukeUSA,68,217.0,5.0,31,Forward,Inactive,N,1610612764,Bullets,WAS,wizards,Washington,HISTADDmarkalarie,1986.0,1990.0,N,Y,Y,1986,1,18,N
76020,Gary,Alcorn,GaryAlcorn,AlcornGary,GAlcorn,garyalcorn,19361008000000,FresnoState,USA,FresnoStateUSA,69,225.0,2.0,24,Center,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADDgaryalcorn,1959.0,1960.0,N,Y,Y,1959,3,16,N
1630583,Santi,Aldama,SantiAldama,AldamaSanti,SAldama,santialdama,20010110000000,LoyolaMaryland,Spain,LoyolaMarylandSpain,70,215.0,2.0,7,ForwardCenter,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,santialdama,2021.0,2023.0,Y,Y,Y,2021,1,30,N
203128,Furkan,Aldemir,FurkanAldemir,AldemirFurkan,FAldemir,furkanaldemir,19910809000000,Galatasaray,Turkey,GalatasarayTurkey,610,240.0,2.0,19,ForwardCenter,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,furkanaldemir,2014.0,2014.0,N,Y,Y,2012,2,53,N
202332,Cole,Aldrich,ColeAldrich,AldrichCole,CAldrich,colealdrich,19881031000000,Kansas,USA,KansasUSA,611,253.0,9.0,45,Center,Inactive,N,1610612752,Knicks,NYK,knicks,NewYork,colealdrich,2010.0,2017.0,Y,Y,Y,2010,1,11,N
200746,LaMarcus,Aldridge,LaMarcusAldridge,AldridgeLaMarcus,LAldridge,lamarcusaldridge,19850719000000,UniversityofTexasatAustin,USA,TexasAustinUSA,611,250.0,17.0,21,CenterForward,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,lamarcusaldridge,2006.0,2021.0,N,Y,Y,2006,1,2,N
1626146,Cliff,Alexander,CliffAlexander,AlexanderCliff,CAlexander,cliffalexander,19951116000000,Kansas,USA,KansasUSA,68,240.0,2.0,34,Forward,Inactive,N,1610612757,TrailBlazers,POR,blazers,Portland,cliffalexander,2015.0,2015.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
724,Cory,Alexander,CoryAlexander,AlexanderCory,CAlexander,coryalexander,19730622000000,Virginia,USA,VirginiaUSA,61,190.0,8.0,12,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,SanAntonio,coryalexander,1995.0,2004.0,N,Y,Y,1995,1,29,N
201570,Joe,Alexander,JoeAlexander,AlexanderJoe,JAlexander,joealexander,19861226000000,WestVirginia,USA,WestVirginiaUSA,68,230.0,3.0,20,Forward,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,joealexander,2008.0,2009.0,Y,Y,Y,2008,1,8,N
1629734,Kyle,Alexander,KyleAlexander,AlexanderKyle,KAlexander,kylealexander,19961021000000,Tennessee,Canada,TennesseeCanada,610,216.0,2.0,17,ForwardCenter,Inactive,N,1610612748,Heat,MIA,heat,Miami,kylealexander,2019.0,2019.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630234,TyShon,Alexander,TyShonAlexander,AlexanderTyShon,TAlexander,tyshonalexander,19980716000000,Creighton,USA,CreightonUSA,63,195.0,2.0,0,Guard,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,tyshonalexander,2020.0,2020.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
2349,Victor,Alexander,VictorAlexander,AlexanderVictor,VAlexander,victoralexander,19690831000000,IowaState,USA,IowaStateUSA,610,265.0,5.0,9,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,GoldenState,victoralexander,1991.0,2001.0,N,Y,Y,1991,1,17,N
1629638,Nickeil,AlexanderWalker,NickeilAlexanderWalker,AlexanderWalkerNickeil,NAlexanderWalker,nickeilalexanderwalker,19980902000000,VirginiaTech,Canada,VirginiaTechCanada,65,205.0,4.0,9,Guard,Active,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,nickeilalexanderwalker,2019.0,2023.0,Y,Y,Y,2019,1,17,N
76024,Steve,Alford,SteveAlford,AlfordSteve,SAlford,stevealford,19641123000000,Indiana,USA,IndianaUSA,62,183.0,4.0,4,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADDstevealford,1987.0,1990.0,N,Y,Y,1987,2,26,N
1628959,Rawle,Alkins,RawleAlkins,AlkinsRawle,RAlkins,rawlealkins,19971029000000,Arizona,USA,ArizonaUSA,65,225.0,2.0,20,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,rawlealkins,2018.0,2018.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
76028,Bob,Allen,BobAllen,AllenBob,BAllen,boballen,19460717000000,Marshall,USA,MarshallUSA,69,205.0,1.0,50,Forward,Inactive,N,1610612744,Warriors,SFW,warriors,SanFrancisco,HISTADDboballen,1968.0,1968.0,N,Y,Y,1968,6,71,N
1628960,Grayson,Allen,GraysonAllen,AllenGrayson,GAllen,graysonallen,19951008000000,Duke,USA,DukeUSA,64,198.0,5.0,12,Guard,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,graysonallen,2018.0,2023.0,Y,Y,Y,2018,1,21,N
1628386,Jarrett,Allen,JarrettAllen,AllenJarrett,JAllen,jarrettallen,19980421000000,Texas,USA,TexasUSA,69,243.0,6.0,31,Center,Active,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jarrettallen,2017.0,2023.0,N,Y,Y,2017,1,22,N
202730,Lavoy,Allen,LavoyAllen,AllenLavoy,LAllen,lavoyallen,19890204000000,Temple,USA,TempleUSA,69,260.0,7.0,5,ForwardCenter,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,lavoyallen,2011.0,2016.0,Y,Y,Y,2011,2,50,N
76027,Lucius,Allen,LuciusAllen,AllenLucius,LAllen,luciusallen,19470926000000,UCLA,USA,UCLAUSA,62,175.0,10.0,42,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADDluciusallen,1969.0,1978.0,N,Y,Y,1969,1,3,N
2124,Malik,Allen,MalikAllen,AllenMalik,MAllen,malikallen,19780627000000,Villanova,USA,VillanovaUSA,610,255.0,11.0,35,Forward,Inactive,N,1610612748,Heat,MIA,heat,Miami,malikallen,2001.0,2010.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
76029,Odis,Allison,OdisAllison,AllisonOdis,OAllison,odisallison,19491002000000,UNLV,USA,UNLVUSA,66,195.0,1.0,22,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,GoldenState,HISTADDodisallison,1971.0,1971.0,N,Y,Y,1971,5,76,N
200984,Lance,Allred,LanceAllred,AllredLance,LAllred,lanceallred,19810202000000,WeberState,USA,WeberStateUSA,611,250.0,2.0,41,Center,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,lanceallred,2007.0,2007.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
76030,Darrell,Allums,DarrellAllums,AllumsDarrell,DAllums,darrellallums,19580912000000,UCLA,USA,UCLAUSA,68,220.0,1.0,32,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADDdarrellallums,1980.0,1980.0,N,Y,Y,1980,5,103,N
201165,Morris,Almond,MorrisAlmond,AlmondMorris,MAlmond,morrisalmond,19850202000000,Rice,USA,RiceUSA,66,225.0,4.0,21,Guard,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,morrisalmond,2007.0,2011.0,Y,Y,Y,2007,1,25,N
1747,Rafer,Alston,RaferAlston,AlstonRafer,RAlston,raferalston,19760724000000,FresnoState,USA,FresnoStateUSA,62,175.0,11.0,11,Guard,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,raferalston,1999.0,2009.0,Y,Y,Y,1998,2,39,N
1630631,Jose,Alvarado,JoseAlvarado,AlvaradoJose,JAlvarado,josealvarado,19980412000000,GeorgiaTech,USA,GeorgiaTechUSA,60,179.0,2.0,15,Guard,Active,N,1610612740,Pelicans,NOP,pelicans,NewOrleans,josealvarado,2021.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
680,John,Amaechi,JohnAmaechi,AmaechiJohn,JAmaechi,johnamaechi,19701126000000,PennState,UnitedKingdom,PennStateUnitedKingdom,610,270.0,6.0,13,ForwardCenter,Inactive,N,1610612753,Magic,ORL,magic,Orlando,johnamaechi,1995.0,2002.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
200811,Lou,Amundson,LouAmundson,AmundsonLou,LAmundson,louamundson,19821207000000,UNLV,USA,UNLVUSA,69,220.0,11.0,17,Forward,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,louamundson,2006.0,2015.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
101187,Alan,Anderson,AlanAnderson,AndersonAlan,AAnderson,alananderson,19821016000000,MichiganState,USA,MichiganStateUSA,66,220.0,9.0,9,ForwardGuard,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,alananderson,2005.0,2016.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
76036,Daniel,Anderson,DanielAnderson,AndersonDaniel,DAnderson,danielanderson,19510101000000,SouthernCalifornia,USA,SouthernCaliforniaUSA,62,185.0,2.0,33,Guard,Inactive,N,1610612757,TrailBlazers,POR,blazers,Portland,HISTADDdanielanderson,1974.0,1975.0,N,Y,Y,1974,6,92,N
1507,Derek,Anderson,DerekAnderson,AndersonDerek,DAnderson,derekanderson,19740718000000,Kentucky,USA,KentuckyUSA,65,195.0,12.0,1,Guard,Inactive,N,1610612757,TrailBlazers,POR,blazers,Portland,derekanderson,1997.0,2007.0,N,Y,Y,1997,1,13,N
76037,Dwight,Anderson,DwightAnderson,AndersonDwight,DAnderson,dwightanderson,19601228000000,SouthernCalifornia,USA,SouthernCaliforniaUSA,63,185.0,1.0,20,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,HISTADDdwightanderson,1982.0,1982.0,N,Y,Y,1982,2,41,N
944,Eric,Anderson,EricAnderson,AndersonEric,EAnderson,ericanderson,19700526000000,Indiana,USA,IndianaUSA,69,220.0,2.0,42,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,NewYork,ericanderson,1992.0,1993.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
246,Greg,Anderson,GregAnderson,AndersonGreg,GAnderson,greganderson,19640622000000,Houston,USA,HoustonUSA,610,250.0,10.0,0,CenterForward,Inactive,N,1610612759,Spurs,SAS,spurs,SanAntonio,greganderson,1987.0,1997.0,N,Y,Y,1987,1,23,N
202341,James,Anderson,JamesAnderson,AndersonJames,JAnderson,jamesanderson,19890325000000,OklahomaState,USA,OklahomaStateUSA,66,213.0,6.0,5,GuardForward,Inactive,N,1610612759,Spurs,SAS,spurs,SanAntonio,jamesanderson,2010.0,2015.0,Y,Y,Y,2010,1,20,N
76040,Jerome,Anderson,JeromeAnderson,AndersonJerome,JAnderson,jeromeanderson,19531009000000,WestVirginia,USA,WestVirginiaUSA,65,195.0,2.0,2123,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADDjeromeanderson,1975.0,1976.0,N,Y,Y,1975,3,53,N
76041,Kim,Anderson,KimAnderson,AndersonKim,KAnderson,kimanderson,19550512000000,Missouri,USA,MissouriUSA,67,200.0,1.0,42,Forward,Inactive,N,1610612757,TrailBlazers,POR,blazers,Portland,HISTADDkimanderson,1978.0,1978.0,N,Y,Y,1978,7,146,N
203937,Kyle,Anderson,KyleAnderson,AndersonKyle,KAnderson,kyleanderson,19930920000000,UCLA,USA,UCLAUSA,69,230.0,9.0,5,ForwardGuard,Active,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,kyleanderson,2014.0,2023.0,Y,Y,Y,2014,1,30,N
76042,Michael,Anderson,MichaelAnderson,AndersonMichael,MAnderson,michaelanderson,19660323000000,Drexel,USA,DrexelUSA,511,184.0,1.0,10,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,SanAntonio,HISTADDmichaelanderson,1988.0,1988.0,N,Y,Y,1988,3,73,N
76043,Mitchell,Anderson,MitchellAnderson,AndersonMitchell,MAnderson,mitchellanderson,19600923000000,Bradley,USA,BradleyUSA,68,195.0,3.0,11,Forward,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,HISTADDjjanderson,1982.0,1984.0,N,Y,Y,1982,2,36,N
98,Nick,Anderson,NickAnderson,AndersonNick,NAnderson,nickanderson,19680120000000,Illinois,USA,IllinoisUSA,66,228.0,14.0,5,ForwardGuard,Inactive,N,1610612753,Magic,ORL,magic,Orlando,nickanderson,1989.0,2002.0,N,Y,Y,1989,1,11,N
76045,Richard,Anderson,RichardAnderson,AndersonRichard,RAnderson,richardanderson,19601119000000,CaliforniaSantaBarbara,USA,CaliforniaSantaBarbaraUSA,610,240.0,6.0,35,Forward,Inactive,N,1610612757,TrailBlazers,POR,blazers,Portland,HISTADDrichardanderson,1982.0,1989.0,N,Y,Y,1982,2,32,N
76046,Ron,Anderson,RonAnderson,AndersonRon,RAnderson,ronanderson,19581015000000,FresnoState,USA,FresnoStateUSA,67,215.0,10.0,35,Forward,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,HISTADDronanderson,1984.0,1993.0,N,Y,Y,1984,2,27,N
1000,Shandon,Anderson,ShandonAnderson,AndersonShandon,SAnderson,shandonanderson,19731231000000,Georgia,USA,GeorgiaUSA,66,215.0,10.0,49,GuardForward,Inactive,N,1610612752,Knicks,NYK,knicks,NewYork,shandonanderson,1996.0,2005.0,N,Y,Y,1996,2,54,N
335,Willie,Anderson,WillieAnderson,AndersonWillie,WAnderson,willieanderson,19670108000000,Georgia,USA,GeorgiaUSA,68,200.0,8.0,35,GuardForward,Inactive,N,1610612759,Spurs,SAS,spurs,SanAntonio,willieanderson,1988.0,1996.0,N,Y,Y,1988,1,10,N
101149,Martynas,Andriuskevicius,MartynasAndriuskevicius,AndriuskeviciusMartynas,MAndriuskevicius,martynasandriuskevicius,19860312000000,Zalgiris,Lithuania,ZalgirisLithuania,72,240.0,2.0,15,Center,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,martynasandriuskevicius,2005.0,2006.0,Y,Y,Y,2005,2,44,N
76049,Don,Anielak,DonAnielak,AnielakDon,DAnielak,donanielak,19301101000000,MissouriState,USA,MissouriStateUSA,67,190.0,1.0,12,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,NewYork,HISTADDdonanielak,1954.0,1954.0,N,Y,Y,1954,3,26,N
76050,Michael,Ansley,MichaelAnsley,AnsleyMichael,MAnsley,michaelansley,19670208000000,Alabama,USA,AlabamaUSA,67,225.0,3.0,54,Forward,Inactive,N,1610612753,Magic,ORL,magic,Orlando,HISTADDmichaelansley,1989.0,1991.0,N,Y,Y,1989,2,37,N
1512,Chris,Anstey,ChrisAnstey,AnsteyChris,CAnstey,chrisanstey,19750101000000,SouthEastMelbourne,Australia,SouthEastMelbourneAustralia,70,249.0,2.0,22,Center,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,chrisanstey,1997.0,1999.0,N,Y,Y,1997,1,18,N
203507,Giannis,Antetokounmpo,GiannisAntetokounmpo,AntetokounmpoGiannis,GAntetokounmpo,giannisantetokounmpo,19941206000000,Filathlitikos,Greece,FilathlitikosGreece,70,243.0,10.0,34,Forward,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,giannisantetokounmpo,2013.0,2023.0,N,Y,Y,2013,1,15,Y
1628961,Kostas,Antetokounmpo,KostasAntetokounmpo,AntetokounmpoKostas,KAntetokounmpo,kostasantetokounmpo,19971120000000,UniversityofDayton,Greece,DaytonGreece,610,200.0,4.0,37,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,LosAngeles,kostasantetokounmpo,2018.0,2020.0,Y,Y,Y,2018,2,60,N
203648,Thanasis,Antetokounmpo,ThanasisAntetokounmpo,AntetokounmpoThanasis,TAntetokounmpo,thanasisantetokounmpo,19920718000000,Panathinaikos,Greece,PanathinaikosGreece,67,219.0,5.0,43,Forward,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,thanasisantetokounmpo,2015.0,2023.0,Y,Y,Y,2014,2,51,N
2546,Carmelo,Anthony,CarmeloAnthony,AnthonyCarmelo,CAnthony,carmeloanthony,19840529000000,Syracuse,USA,SyracuseUSA,67,238.0,20.0,7,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,LosAngeles,carmeloanthony,2003.0,2021.0,N,Y,Y,2003,1,3,Y
1630175,Cole,Anthony,ColeAnthony,AnthonyCole,CAnthony,coleanthony,20000515000000,NorthCarolina,USA,NorthCarolinaUSA,63,185.0,3.0,50,Guard,Active,N,1610612753,Magic,ORL,magic,Orlando,coleanthony,2020.0,2023.0,N,Y,Y,2020,1,15,N
21,Greg,Anthony,GregAnthony,AnthonyGreg,GAnthony,greganthony,19671115000000,UNLV,USA,UNLVUSA,61,180.0,11.0,50,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,NewYork,greganthony,1991.0,2001.0,N,Y,Y,1991,1,12,N
201202,Joel,Anthony,JoelAnthony,AnthonyJoel,JAnthony,joelanthony,19820809000000,UNLV,Canada,UNLVCanada,69,245.0,11.0,30,Center,Inactive,N,1610612748,Heat,MIA,heat,Miami,joelanthony,2007.0,2016.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
203544,Pero,Antic,PeroAntic,AnticPero,PAntic,peroantic,19820729000000,Olympiacos,Macedonia,OlympiacosMacedonia,611,260.0,2.0,6,ForwardCenter,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,peroantic,2013.0,2014.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
1628384,OG,Anunoby,OGAnunoby,AnunobyOG,OAnunoby,oganunoby,19970717000000,Indiana,UnitedKingdom,IndianaUnitedKingdom,67,232.0,6.0,3,Forward,Active,N,1610612761,Raptors,TOR,raptors,Toronto,oganunoby,2017.0,2023.0,N,Y,Y,2017,1,23,N
2737,Rafael,Araujo,RafaelAraujo,AraujoRafael,RAraujo,rafaelaraujo,19800812000000,BrighamYoung,Brazil,BrighamYoungBrazil,611,270.0,4.0,55,Center,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,rafaelaraujo,2004.0,2006.0,N,Y,Y,2004,1,8,N
76054,Nate,Archibald,NateArchibald,ArchibaldNate,NArchibald,natearchibald,19480902000000,TexasElPaso,USA,TexasElPasoUSA,61,150.0,13.0,1,Guard,Inactive,N,1610612758,Kings,KCK,kings,KansasCity,HISTADDnatearchibald,1970.0,1983.0,N,Y,Y,1970,2,19,Y
2425,Robert,Archibald,RobertArchibald,ArchibaldRobert,RArchibald,robertarchibald,19800329000000,Illinois,Scotland,IllinoisScotland,611,250.0,3.0,34,Forward,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,robertarchibald,2002.0,2003.0,N,Y,Y,2002,2,31,N
76055,Jim,Ard,JimArd,ArdJim,JArd,jimard,19480919000000,Cincinnati,USA,CincinnatiUSA,69,215.0,4.0,34,Center,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,HISTADDjimard,1974.0,1977.0,N,Y,Y,1970,1,6,N
2240,Gilbert,Arenas,GilbertArenas,ArenasGilbert,GArenas,gilbertarenas,19820106000000,Arizona,USA,ArizonaUSA,64,215.0,12.0,10,Guard,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,gilbertarenas,2001.0,2011.0,N,Y,Y,2001,2,30,N
